Type,Distribution,K,N,Dimensions,Time
Dumb,gaussian,10,2048,2,0.00239303
Dumb,gaussian,25,2048,2,0.00234229
Dumb,gaussian,50,2048,2,0.00234307
Dumb,gaussian,75,2048,2,0.00233582
Dumb,gaussian,100,2048,2,0.00233254
Dumb,gaussian,125,2048,2,0.00233275
Dumb,gaussian,150,2048,2,0.00239107
Dumb,gaussian,175,2048,2,0.00230877
Dumb,gaussian,200,2048,2,0.00251011
Buckets,gaussian,10,2048,2,0.00121714
Buckets,gaussian,25,2048,2,0.00235531
Buckets,gaussian,50,2048,2,0.00216667
Buckets,gaussian,75,2048,2,0.00207461
Buckets,gaussian,100,2048,2,0.00263032
Buckets,gaussian,125,2048,2,0.0021618
Buckets,gaussian,150,2048,2,0.00107739
Buckets,gaussian,175,2048,2,0.0024464
Buckets,gaussian,200,2048,2,0.00133201
Buckets,gaussian,10,2048,3,0.00181608
Buckets,gaussian,25,2048,3,0.00202668
Buckets,gaussian,50,2048,3,0.0033285
Buckets,gaussian,75,2048,3,0.000933104
Buckets,gaussian,100,2048,3,0.00225439
Buckets,gaussian,125,2048,3,0.00230913
Buckets,gaussian,150,2048,3,0.000746098
Buckets,gaussian,175,2048,3,0.00115032
Buckets,gaussian,200,2048,3,0.00367108
Buckets,gaussian,10,2048,10,7.40247
Buckets,gaussian,25,2048,10,7.33322
Buckets,gaussian,50,2048,10,7.84894
Buckets,gaussian,75,2048,10,7.77063
Buckets,gaussian,100,2048,10,7.17252
Buckets,gaussian,125,2048,10,7.23087
Buckets,gaussian,150,2048,10,7.23887
Buckets,gaussian,175,2048,10,7.2817
Buckets,gaussian,200,2048,10,7.23304
Quad Tree,gaussian,10,2048,2,0.000404674
Quad Tree,gaussian,25,2048,2,0.000799861
Quad Tree,gaussian,50,2048,2,0.000932302
Quad Tree,gaussian,75,2048,2,0.0014209
Quad Tree,gaussian,100,2048,2,0.00132915
Quad Tree,gaussian,125,2048,2,0.00111314
Quad Tree,gaussian,150,2048,2,0.00167622
Quad Tree,gaussian,175,2048,2,0.00207406
Quad Tree,gaussian,200,2048,2,0.00129358
KD Tree,gaussian,10,2048,2,0.000525269
KD Tree,gaussian,25,2048,2,0.000792834
KD Tree,gaussian,50,2048,2,0.000794962
KD Tree,gaussian,75,2048,2,0.00116701
KD Tree,gaussian,100,2048,2,0.00166624
KD Tree,gaussian,125,2048,2,0.000867821
KD Tree,gaussian,150,2048,2,0.00162273
KD Tree,gaussian,175,2048,2,0.00125087
KD Tree,gaussian,200,2048,2,0.00151354
KD Tree,gaussian,10,2048,3,0.000608574
KD Tree,gaussian,25,2048,3,0.000877407
KD Tree,gaussian,50,2048,3,0.000993043
KD Tree,gaussian,75,2048,3,0.00126645
KD Tree,gaussian,100,2048,3,0.00142521
KD Tree,gaussian,125,2048,3,0.00197427
KD Tree,gaussian,150,2048,3,0.00179199
KD Tree,gaussian,175,2048,3,0.00202648
KD Tree,gaussian,200,2048,3,0.00206356
KD Tree,gaussian,10,2048,10,0.00161696
KD Tree,gaussian,25,2048,10,0.00208544
KD Tree,gaussian,50,2048,10,0.00241189
KD Tree,gaussian,75,2048,10,0.0032752
KD Tree,gaussian,100,2048,10,0.00332232
KD Tree,gaussian,125,2048,10,0.00420813
KD Tree,gaussian,150,2048,10,0.00437
KD Tree,gaussian,175,2048,10,0.00560022
KD Tree,gaussian,200,2048,10,0.00528967
Dumb,gaussian,10,4096,2,0.00518083
